City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Thai Binh,VN,20.45,106.3333,57.2,81,100,8.66,overcast clouds
196,Salaverry,PE,-8.2333,-78.9667,70.97,80,93,9.62,overcast clouds
197,Prince Rupert,CA,54.3161,-130.3201,42.89,87,100,12.66,overcast clouds
198,Chongwe,ZM,-15.3292,28.682,64.35,94,99,1.54,overcast clouds
199,San Jeronimo,PE,-11.9472,-75.2829,55.96,71,100,4.65,overcast clouds
200,Sitka,US,57.0531,-135.33,39.07,89,100,4.97,light rain
201,San Jose,US,37.3394,-121.895,78.57,46,0,4.61,clear sky
202,San Quintin,MX,30.4833,-115.95,76.03,20,9,7.52,clear sky
203,Howard Springs,AU,-12.497,131.047,78.71,95,79,5.03,broken clouds
204,Yantai,CN,37.5333,121.4,34.32,99,100,7.9,light snow
205,Freeport,US,40.6576,-73.5832,33.53,84,100,10.36,light snow
206,Ames,US,42.0347,-93.6199,16.3,71,20,5.75,few clouds
207,Axim,GH,4.8699,-2.2405,79.39,86,7,7.96,clear sky
208,Oranjestad,AW,12.524,-70.027,78.42,82,7,22.01,clear sky
209,Filingue,NE,14.3521,3.3168,78.37,9,2,7.07,clear sky
210,Taoudenni,ML,22.6783,-3.9836,66.18,22,0,11.59,clear sky
211,Port Hardy,CA,50.6996,-127.4199,46.76,66,100,7.72,overcast clouds
212,Strasice,CZ,49.7355,13.7576,37.74,83,0,1.01,clear sky
213,Necochea,AR,-38.5473,-58.7368,69.94,36,1,7.11,clear sky
214,Ribeira Grande,PT,38.5167,-28.7,59.4,67,40,5.75,scattered clouds
215,Roanoke Rapids,US,36.4615,-77.6542,46.04,81,100,8.05,light intensity drizzle
216,Ocos,GT,14.5094,-92.1933,94.24,59,0,9.75,clear sky
217,Gejiu,CN,23.306,103.1635,40.03,93,35,3.31,scattered clouds
218,Port Macquarie,AU,-31.4333,152.9167,63.9,79,99,2.04,overcast clouds
219,Papara,BR,-3.9839,-38.7273,82.8,66,26,7.72,scattered clouds
220,Touros,BR,-5.1989,-35.4608,82.08,71,10,12.5,clear sky
221,Fort Nelson,CA,58.8053,-122.7002,9.5,92,89,2.75,overcast clouds
222,Goundi,TD,9.3627,17.366,84.15,13,99,4.09,overcast clouds
223,Diego De Almagro,CL,-26.3667,-70.05,82.15,16,8,13.78,clear sky
224,Beaverlodge,CA,55.2166,-119.4361,35.38,69,100,5.39,overcast clouds
225,Udachnyy,RU,66.4167,112.4,-21.95,94,63,1.79,broken clouds
226,Ovalle,CL,-30.5983,-71.2003,80.53,42,0,11.92,clear sky
227,Leshukonskoye,RU,64.8989,45.7622,4.17,99,92,4.09,overcast clouds
228,Tukrah,LY,32.5341,20.5791,53.91,76,0,2.48,clear sky
229,Chokurdakh,RU,70.6333,147.9167,-4.25,96,100,10.49,overcast clouds
230,Goma,CD,-1.6792,29.2228,62.38,86,70,3.96,broken clouds
231,Lagoa,PT,39.05,-27.9833,56.43,61,92,5.41,overcast clouds
232,Waddan,LY,29.1614,16.139,55.78,39,0,10.51,clear sky
233,Fuengirola,ES,36.54,-4.6247,56.84,88,0,4.61,clear sky
234,Muros,ES,42.7762,-9.0603,56.84,71,9,18.28,clear sky
235,Port Hueneme,US,34.1478,-119.1951,88.77,18,0,6.91,clear sky
236,Lavrentiya,RU,65.5833,-171.0,-22.0,93,25,2.86,scattered clouds
237,Cockburn Town,TC,21.4612,-71.1419,77.88,78,0,15.93,clear sky
238,Port Hawkesbury,CA,45.6169,-61.3485,27.88,80,100,8.99,overcast clouds
239,Opuwo,NA,-18.0607,13.84,69.98,84,99,9.15,light rain
240,Butaritari,KI,3.0707,172.7902,81.77,75,52,12.62,broken clouds
241,Boizenburg,DE,53.3833,10.7167,42.57,79,100,12.97,overcast clouds
242,Tasiilaq,GL,65.6145,-37.6368,19.56,71,100,9.89,overcast clouds
243,Margate,GB,51.3813,1.3862,49.96,86,100,11.99,light rain
244,Niksic,ME,42.7731,18.9445,37.27,97,100,1.34,overcast clouds
245,Provideniya,RU,64.3833,-173.3,-14.48,95,19,3.15,few clouds
246,Tiksi,RU,71.6872,128.8694,-12.95,93,11,11.83,few clouds
247,Taltal,CL,-25.4,-70.4833,71.46,68,14,7.52,few clouds
248,Puerto Carreno,CO,6.189,-67.4859,96.37,30,44,8.25,scattered clouds
249,Cumaral,CO,4.2708,-73.4867,94.55,31,99,6.64,overcast clouds
250,Abu Samrah,SY,35.3029,37.1841,50.67,59,0,5.93,clear sky
251,Shelburne,CA,44.0787,-80.2041,15.13,67,100,3.65,overcast clouds
252,Dembi Dolo,ET,8.5333,34.8,67.42,48,42,2.42,scattered clouds
253,Severo-Kurilsk,RU,50.6789,156.125,21.92,70,36,10.22,scattered clouds
254,Avanigadda,IN,16.0215,80.9181,70.2,82,12,4.43,few clouds
255,Ardesen,TR,41.1911,40.9875,39.16,85,100,3.15,overcast clouds
256,Palmer,US,42.1584,-72.3287,31.91,64,100,5.75,overcast clouds
257,Clyde River,CA,70.4692,-68.5914,-23.57,69,75,11.5,broken clouds
258,Pecos,US,31.4229,-103.4932,61.3,23,0,0.0,clear sky
259,Geraldton,AU,-28.7667,114.6,73.81,88,100,6.91,overcast clouds
260,Sobolevo,RU,54.4299,31.8996,23.65,84,56,13.38,broken clouds
261,Russkiy Aktash,RU,55.0384,52.1214,18.75,97,96,4.41,overcast clouds
262,Kijang,KR,35.2442,129.2139,44.28,80,100,9.19,overcast clouds
263,Erzin,TR,36.9559,36.2,43.32,76,97,2.46,overcast clouds
264,Channel-Port Aux Basques,CA,47.5702,-59.1367,23.95,71,100,16.69,overcast clouds
265,Camacha,PT,33.0833,-16.3333,57.96,67,20,10.36,few clouds
266,Murgab,TM,37.4966,61.9714,43.25,39,3,0.76,clear sky
267,Puerto Madryn,AR,-42.7692,-65.0385,86.9,22,0,18.66,clear sky
268,Narrabri,AU,-30.3167,149.7833,61.52,78,0,1.01,clear sky
269,Ngunguru,NZ,-35.6167,174.5,61.16,66,83,7.36,broken clouds
270,Flagstaff,US,35.1981,-111.6513,62.17,12,0,1.01,clear sky
271,Malatya,TR,38.5,38.0,26.65,80,0,4.61,clear sky
272,Talnakh,RU,69.4865,88.3972,-7.26,70,17,9.15,few clouds
273,Poitiers,FR,46.5833,0.3333,55.81,62,100,13.8,overcast clouds
274,Bathsheba,BB,13.2167,-59.5167,77.68,73,59,17.47,broken clouds
275,Kalakamati,BW,-20.5929,27.3121,72.37,46,45,12.1,scattered clouds
276,Bontang,ID,0.1333,117.5,77.32,86,94,3.58,overcast clouds
277,Murupara,NZ,-38.4667,176.7,61.41,63,6,3.94,clear sky
278,Wanaka,NZ,-44.7,169.15,46.11,80,0,1.99,clear sky
279,Fernley,US,39.608,-119.2518,67.03,23,1,2.46,clear sky
280,Sidney,AU,-33.8679,151.2073,65.5,87,75,5.75,broken clouds
281,Kloulklubed,PW,7.0419,134.2556,80.71,83,100,20.92,overcast clouds
282,Beloha,MG,-25.1667,45.05,75.83,87,29,14.72,scattered clouds
283,Pangnirtung,CA,66.1451,-65.7125,-33.38,97,95,3.89,overcast clouds
284,Cayenne,GF,4.9333,-52.3333,82.44,83,75,17.27,light rain
285,Jardim,BR,-21.4803,-56.1381,97.07,25,73,6.98,broken clouds
286,Matara,LK,5.9485,80.5353,74.19,86,100,9.95,overcast clouds
287,Iqaluit,CA,63.7506,-68.5145,-16.31,75,100,3.44,overcast clouds
288,Husavik,IS,66.0449,-17.3389,10.47,80,71,14.05,broken clouds
289,Te Anau,NZ,-45.4167,167.7167,47.35,88,34,1.59,scattered clouds
290,Heinola,FI,61.2056,26.0381,33.89,97,100,11.97,overcast clouds
291,Carupano,VE,10.6678,-63.2585,81.41,63,98,16.17,overcast clouds
292,Vikhorevka,RU,56.1201,101.1636,-15.21,100,100,1.14,overcast clouds
293,Reynosa,MX,26.0833,-98.2833,63.99,22,0,4.61,clear sky
294,Kalmunai,LK,7.4167,81.8167,76.03,83,98,6.33,overcast clouds
295,Penzance,GB,50.1186,-5.5371,49.21,78,100,25.43,overcast clouds
296,Mehamn,NO,71.0357,27.8492,21.38,93,100,16.24,snow
297,Poum,NC,-20.2333,164.0167,81.57,78,94,13.53,overcast clouds
298,Grand Gaube,MU,-20.0064,57.6608,81.37,78,89,5.01,overcast clouds
299,Kudahuvadhoo,MV,2.6708,72.8944,81.55,78,100,10.83,overcast clouds
300,Lafiagi,NG,8.8667,5.4167,88.21,13,62,2.55,broken clouds
301,Pacific Grove,US,36.6177,-121.9166,80.8,60,0,4.61,clear sky
302,Lethem,GY,3.3803,-59.7968,93.07,39,99,12.59,overcast clouds
303,Lamlash,GB,55.5336,-5.1296,42.73,95,100,13.58,overcast clouds
304,Lorengau,PG,-2.0226,147.2712,80.33,79,100,1.54,overcast clouds
305,Dalvik,IS,65.9702,-18.5286,18.3,46,87,9.31,overcast clouds
306,Mogwase,ZA,-25.185,27.2665,72.57,30,75,3.44,broken clouds
307,Dubti,ET,11.7361,41.0853,83.44,44,0,13.38,clear sky
308,Vilcun,CL,-38.65,-72.2333,88.9,18,99,8.01,overcast clouds
309,Terpsithea,GR,39.6167,22.3667,46.74,83,75,0.0,broken clouds
310,Thunder Bay,CA,48.4001,-89.3168,6.57,52,20,6.91,few clouds
311,Aykhal,RU,66.0,111.5,-8.77,50,15,0.96,few clouds
312,Mount Isa,AU,-20.7333,139.5,73.17,88,33,0.0,scattered clouds
